X,Y
-5.614336016000000029e+01,-3.489862202999999852e+01
-5.614605458999999854e+01,-3.489700486000000268e+01
-5.615083239999999876e+01,-3.489501839999999788e+01
-5.614408894000000316e+01,-3.490076914000000130e+01
-5.615034031999999797e+01,-3.489852047000000113e+01
-5.614675831000000272e+01,-3.489856445000000207e+01
-5.614901827999999995e+01,-3.490037732999999776e+01
-5.614654709999999938e+01,-3.490130719999999798e+01
-5.614786915999999906e+01,-3.490016166000000197e+01
-5.614629002000000213e+01,-3.490220958999999823e+01
-5.614265714999999801e+01,-3.490224992000000270e+01
-5.614650642000000147e+01,-3.490069489999999774e+01
-5.614566786999999692e+01,-3.490275771000000304e+01
-5.614909842000000140e+01,-3.489980821000000333e+01
-5.614792442000000250e+01,-3.489984007000000332e+01
-5.614895374000000317e+01,-3.490077182000000278e+01
-5.614713672999999972e+01,-3.489883479000000222e+01
-5.614662501000000105e+01,-3.489989916999999764e+01
-5.614782811999999979e+01,-3.489544816000000083e+01
-5.613278181999999816e+01,-3.489417433999999929e+01
-5.613289625000000171e+01,-3.489714581999999865e+01
-5.612955800000000295e+01,-3.489516496000000245e+01
-5.612949184000000002e+01,-3.489574178000000160e+01
-5.613093570000000199e+01,-3.489663696000000215e+01
-5.612786716000000098e+01,-3.489659919999999715e+01
-5.613135240999999809e+01,-3.489731914000000046e+01
-5.613106642999999707e+01,-3.489467133000000132e+01
-5.613126241999999877e+01,-3.489335583999999812e+01
-5.612975286999999724e+01,-3.489424068000000290e+01
-5.615691008999999667e+01,-3.492575350999999984e+01
-5.616040126000000043e+01,-3.492684419999999790e+01
-5.612996320999999966e+01,-3.489439924999999931e+01
-5.612831844000000103e+01,-3.489440723999999960e+01
-5.613245722999999998e+01,-3.489869270999999884e+01
-5.612648164000000151e+01,-3.489602123000000233e+01
-5.613408137999999781e+01,-3.489757870999999767e+01
-5.613177025000000242e+01,-3.489856278999999972e+01
-5.613086269000000073e+01,-3.489935659999999729e+01
-5.613094402000000116e+01,-3.489783005999999688e+01
-5.613782024999999720e+01,-3.490078259999999943e+01
-5.613140955000000076e+01,-3.489594315000000080e+01
-5.613254803000000237e+01,-3.489895898999999702e+01
-5.612907197999999909e+01,-3.489922844000000168e+01
-5.612782863999999705e+01,-3.489480806000000257e+01
-5.612952491000000066e+01,-3.489436789999999888e+01
-5.613018121000000349e+01,-3.489539031999999708e+01
-5.614226177999999834e+01,-3.489636278999999774e+01
-5.613596909999999696e+01,-3.489771252999999973e+01
-5.613508407999999861e+01,-3.489474763999999851e+01
-5.613592149000000120e+01,-3.489566731000000033e+01
-5.613001644999999940e+01,-3.489618332999999950e+01
-5.615113783999999697e+01,-3.491890542000000153e+01
-5.615431996000000225e+01,-3.491817377000000278e+01
-5.615437382999999727e+01,-3.491815712999999732e+01
-5.613773649000000177e+01,-3.490604093999999691e+01
-5.614830766000000040e+01,-3.489163243000000136e+01
-5.614586124000000211e+01,-3.489111624000000234e+01
-5.615025794999999675e+01,-3.489042142000000268e+01
-5.614237012000000249e+01,-3.489287802999999855e+01
-5.613410551999999853e+01,-3.489101799000000170e+01
-5.613981904999999983e+01,-3.488777852999999851e+01
-5.613304000000000116e+01,-3.489263133000000039e+01
-5.613948272999999745e+01,-3.489307371000000302e+01
-5.613687512999999996e+01,-3.488759866000000187e+01
-5.613524639999999977e+01,-3.489175128000000115e+01
-5.613746171999999746e+01,-3.489040042999999969e+01
-5.614923156999999776e+01,-3.489806241000000142e+01
-5.614443628000000075e+01,-3.489962314000000276e+01
-5.613055923000000291e+01,-3.489737849000000125e+01
-5.614149892999999736e+01,-3.489620614999999759e+01
-5.614037960999999655e+01,-3.489599104999999923e+01
-5.614189283000000330e+01,-3.489724466999999919e+01
-5.614531400999999988e+01,-3.489580765000000184e+01
-5.613273433999999895e+01,-3.489508519000000319e+01
-5.613185839999999871e+01,-3.489395732999999922e+01
-5.613378960000000006e+01,-3.489445249999999987e+01
-5.614770883999999995e+01,-3.490121223999999955e+01
-5.613603691000000140e+01,-3.489497770999999915e+01
-5.613773857999999706e+01,-3.488807235000000162e+01
-5.613715118999999731e+01,-3.488890222999999935e+01
-5.612712092999999669e+01,-3.489537101999999891e+01
-5.613872064000000250e+01,-3.490054250000000025e+01
-5.613441475999999852e+01,-3.489669968999999838e+01
-5.613018328999999795e+01,-3.489355682000000058e+01
-5.613102127999999880e+01,-3.489600520999999844e+01
-5.613902734999999922e+01,-3.489961412000000252e+01
-5.614792183000000136e+01,-3.489570016999999780e+01
-5.614360358999999789e+01,-3.489519759000000221e+01
-5.615475125999999761e+01,-3.488926380000000194e+01
-5.615290626000000174e+01,-3.488861681000000203e+01
-5.610216980999999947e+01,-3.481898437000000257e+01
-5.610905840000000211e+01,-3.482197879000000285e+01
-5.610483871999999650e+01,-3.481988473999999911e+01
-5.610406222000000298e+01,-3.482566441000000168e+01
-5.610766721000000246e+01,-3.482240652000000125e+01
-5.610680444999999850e+01,-3.482198172999999741e+01
-5.610459235999999805e+01,-3.482084147999999857e+01
-5.610433688999999902e+01,-3.482263993000000113e+01
-5.613384943999999876e+01,-3.489139550000000156e+01
-5.610856754000000279e+01,-3.482263206999999738e+01
-5.610654848000000072e+01,-3.482164411000000115e+01
-5.611067435999999731e+01,-3.482369363000000106e+01
-5.610968792999999977e+01,-3.482324363000000034e+01
-5.610407865999999899e+01,-3.482033166000000080e+01
-5.627403714999999806e+01,-3.488820965000000029e+01
-5.615654585000000054e+01,-3.492064450000000164e+01
-5.614310944000000347e+01,-3.487043188999999899e+01
-5.619223622999999890e+01,-3.486335068000000348e+01
-5.618120744000000144e+01,-3.488712069000000326e+01
-5.613963921999999940e+01,-3.490598621000000179e+01
-5.614005020999999829e+01,-3.490631147999999939e+01
-5.613352942000000212e+01,-3.484438458000000338e+01
-5.613560241999999789e+01,-3.484368153999999862e+01
-5.613611869000000354e+01,-3.484313276000000315e+01
-5.613612728999999746e+01,-3.484307362999999924e+01
-5.613665077000000281e+01,-3.484183433999999835e+01
