Loading matrix data... DONE [0.325 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 247 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 248 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 249 9.236876824647878E11distancia: 220296.5810546875desborde: 0 tiempo: 1.6892729E7
Eval 250 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 251 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 252 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 253 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 254 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 255 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 256 9.345545326225735E11distancia: 194071.46484375desborde: 0 tiempo: 1.6739263E7
Eval 257 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 258 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 259 9.345032169881199E11distancia: 194203.6279296875desborde: 0 tiempo: 1.6767901E7
Eval 260 9.355260135811245E11distancia: 191552.21875desborde: 0 tiempo: 1.6794817E7
Eval 261 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 262 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 263 9.177394434547758E11distancia: 233406.9892578125desborde: 0 tiempo: 1.6504959E7
Eval 264 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 265 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 266 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 267 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 268 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 269 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 270 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 271 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 272 9.304900247759817E11distancia: 204274.916015625desborde: 0 tiempo: 1.6399971E7
Eval 273 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 274 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 275 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 276 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 277 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 278 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 279 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 280 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 281 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 282 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 283 9.173451473142556E11distancia: 234250.1201171875desborde: 0 tiempo: 1.6544491E7
Eval 284 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 285 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
